start_date;maxtemperature;maxrh;meantemperature;meanrh;mintemperature;minrh;location
15/06/2021;32,5;66;27,56666667;51;22,6;36;2
16/06/2021;28,4;89;25,33333333;68,5;22,3;48;2
17/06/2021;26,7;94;24,4;79;22,1;64;2
18/06/2021;30,4;94;25,43333333;77,5;20,5;61;2
19/06/2021;30,6;89;25,66666667;77;20,7;65;2
20/06/2021;29,6;91;25,6;66,5;21,6;42;2
21/06/2021;28,2;89;24,56666667;69,5;20,9;50;2
22/06/2021;28,6;87;25,93333333;71,5;22,6;56;2
23/06/2021;27,5;80;22,76666667;66;18;52;2
24/06/2021;26,8;81;22,03333333;67,5;17,3;54;2
25/06/2021;28,9;83;23,56666667;67,5;18,2;52;2
26/06/2021;28,6;87;24,06666667;73,5;19,5;60;2
27/06/2021;29;92;24,86666667;77,5;20,7;63;2
28/06/2021;28,7;84;24;72;19,3;60;2
29/06/2021;27,6;78;23,66666667;65;19,7;52;2
30/06/2021;29,5;81;24,56666667;64,5;19,6;48;2
01/07/2021;29,4;88;24,9;74,5;20,4;61;2
02/07/2021;30,7;91;25,2;73,5;19,7;56;2
03/07/2021;30;93;25,4;77;20,8;61;2
04/07/2021;28,6;88;25,06666667;73,5;21,5;59;2
05/07/2021;30,3;92;25,7;72;21,1;52;2
06/07/2021;31,2;90;27,1;76,5;23;63;2
07/07/2021;29,1;78;25,3;65;21,5;52;2
08/07/2021;29,8;79;23,8;61,5;17,8;44;2
09/07/2021;29;75;24,36666667;63,5;19,7;52;2
10/07/2021;28;89;24,56666667;74,5;21,1;60;2
11/07/2021;30,3;90;26,2;72,5;22,1;55;2
12/07/2021;27,7;91;24,2;68;20,7;45;2
13/07/2021;28;65;22,63333333;52;17,3;39;2
14/07/2021;29,1;78;23,43333333;64;17,8;50;2
15/07/2021;29,8;75;25,2;63,5;20,6;52;2
16/07/2021;31;83;25,8;68,5;20,6;54;2
17/07/2021;31;81;25,5;68,5;20;56;2
18/07/2021;31,4;83;26,33333333;69;21,3;55;2
19/07/2021;31,4;89;27,06666667;71,5;22,7;54;2
20/07/2021;31,5;84;27,1;66;22,7;48;2
21/07/2021;31,7;92;27,26666667;72,5;22,8;53;2
22/07/2021;31,6;94;26,86666667;70;22,1;46;2
23/07/2021;31,3;88;27,5;74,5;23,7;61;2
24/07/2021;29;76;25,86666667;61,5;22,7;47;2
25/07/2021;29,9;71;25,8;60;21,7;49;2
26/07/2021;31,2;72;26,86666667;59,5;22,5;47;2
27/07/2021;29;85;25,06666667;67;21,1;49;2
28/07/2021;28,2;88;24,56666667;72,5;20,9;57;2
29/07/2021;31,3;88;26,2;69;21,1;50;2
30/07/2021;33,1;89;27,7;74;22,3;59;2
31/07/2021;31,7;92;24,66666667;69;17,6;46;2
01/08/2021;26,6;90;21,5;73;16,4;56;2
02/08/2021;28,1;83;23,36666667;69;18,6;55;2
03/08/2021;29,5;86;25,48066667;73;20,1;60;2
04/08/2021;21,772;99,48730469;20,287;88,81022135;17,819;77,22167969;2
05/08/2021;27,284;100;22,84566667;88,13476563;17,034;74,4140625;2
06/08/2021;25,137;91,35742188;23,31666667;81,90104167;21,581;69,43359375;2
07/08/2021;26,475;91,796875;23,412;73,92578125;20,817;58,22753906;2
08/08/2021;25,089;74,82910156;21,908;67,0328776;19,865;60,62011719;2
09/08/2021;25,939;78,63769531;21,772;70,703125;17,796;56,15234375;2
10/08/2021;26,329;81,4453125;22,67166667;73,38053385;19,436;61,9140625;2
11/08/2021;27,431;73,31542969;24,33766667;62,49186198;21,628;52,07519531;2
12/08/2021;28,369;91,62597656;24,81733333;77,75878906;22,178;70,67871094;2
13/08/2021;29,09;74,53613281;25,29766667;70,8984375;22,729;64,08691406;2
14/08/2021;30,571;90,64941406;25,74933333;78,37727865;21,103;59,15527344;2
15/08/2021;28,221;89,91699219;25,563;81,86848958;23,064;73,68164063;2
16/08/2021;27,727;84,03320313;25,109;64,81119792;22,753;52,68554688;2
17/08/2021;26,5;78,80859375;23,73833333;64,46126302;21,867;56,86035156;2
18/08/2021;25,768;82,44628906;22,58866667;73,52701823;19,365;65,38085938;2
19/08/2021;25,841;88,64746094;22,70033333;77,71809896;19,627;60,30273438;2
20/08/2021;26,158;84,765625;23,33666667;76,83105469;19,199;67,70019531;2
21/08/2021;29,414;87,52441406;25,97533333;81,0546875;23,472;71,63085938;2
22/08/2021;28,444;84,69238281;24,388;76,4078776;21,175;65,11230469;2
23/08/2021;27,481;82,8125;24,117;72,77832031;20,603;58,0078125;2
24/08/2021;27,308;70,99609375;24,09566667;64,51009115;21,963;54,17480469;2
25/08/2021;25,695;90,91796875;22,72166667;76,84733073;20,412;67,74902344;2
26/08/2021;28,518;88,13476563;23,90466667;81,03841146;17,986;67,70019531;2
27/08/2021;28,245;84,44824219;24,52166667;74,4140625;21,39;66,33300781;2
28/08/2021;26,818;65,99121094;23,35833333;59,43196615;21,318;51,53808594;2
29/08/2021;26,573;68,96972656;22,83933333;58,89485677;20,555;48,60839844;2
30/08/2021;24,726;83,64257813;22,067;75,69986979;18,866;63,62304688;2
31/08/2021;25,647;91,69921875;21,951;75,91959635;19,651;55,078125;2
01/09/2021;25,162;89,91699219;21,711;73,99088542;18,39;60,88867188;2
02/09/2021;21,795;95,65429688;20,89766667;88,68815104;19,532;79,1015625;2
03/09/2021;26,5;92,01660156;22,29833333;86,23860677;20,126;75,68359375;2
04/09/2021;25,453;91,6015625;22,102;83,7483724;18,699;71,63085938;2
05/09/2021;28,468;94,58007813;24,01033333;84,95279948;19,127;71,38671875;2
06/09/2021;28,27;90,74707031;24,68;85,35970052;20,293;76,171875;2
07/09/2021;27,431;93,33496094;24,85933333;88,02897135;22,082;79,90722656;2
08/09/2021;27,949;94,140625;24,75233333;86,18977865;21,485;75,14648438;2
09/09/2021;27,333;94,921875;24,44;81,03027344;22,202;66,91894531;2
10/09/2021;21,867;95,97167969;21,16766667;89,20084635;19,912;81,49414063;2
11/09/2021;26,989;92,62695313;22,798;79,94791667;18,533;62,03613281;2
12/09/2021;24,243;93,28613281;22,886;90,45410156;20,365;87,06054688;2
